DrugBankID,DiseaseID
DB00544,D066126
DB01169,D066126
DB00169,D066126
DB00783,D013119
DB00773,D013119
DB03843,D013119
DB00331,D013119
DB00544,D013119
DB01169,D013119
DB00169,D013119
DB00783,D009101
DB00773,D009101
DB03843,D009101
DB00331,D009101
DB00544,D009101
DB01169,D009101
DB00169,D009101
DB00783,D007674
DB00773,D007674
DB03843,D007674
DB00467,D007674
DB00331,D007674
DB00544,D007674
DB01169,D007674
DB00169,D007674
DB00169,D011236
DB00783,D010520
DB00331,D010520
DB01169,D010520
DB00783,D006526
DB00773,D006526
DB03843,D006526
DB00331,D006526
DB00544,D006526
DB01169,D006526
DB00169,D006526
DB00783,D016640
DB00773,D016640
DB03843,D016640
DB00331,D016640
DB00544,D016640
DB01169,D016640
DB00169,D016640
DB00783,D001661
DB03843,D001661
DB01169,D001661
DB00783,D011471
DB00773,D011471
DB03843,D011471
DB00467,D011471
DB00331,D011471
DB00544,D011471
DB01169,D011471
DB00169,D011471
DB00783,D002318
DB00773,D002318
DB03843,D002318
DB00331,D002318
DB00544,D002318
DB01169,D002318
DB00169,D002318
DB00783,D007246
DB03843,D007246
DB01169,D007246
DB00169,D007246
DB00783,D053713
DB00773,D053713
DB03843,D053713
DB00331,D053713
DB00544,D053713
DB01169,D053713
DB00169,D053713
DB00783,D006528
DB00773,D006528
DB03843,D006528
DB00467,D006528
DB00331,D006528
DB00544,D006528
DB01169,D006528
DB00169,D006528
DB00783,D002779
DB00773,D002779
DB03843,D002779
DB00467,D002779
DB00331,D002779
DB00544,D002779
DB01169,D002779
DB00169,D002779
DB00783,D024821
DB00773,D024821
DB03843,D024821
DB00331,D024821
DB00544,D024821
DB01169,D024821
DB00169,D024821
DB00783,D006323
DB00773,D006323
DB03843,D006323
DB00331,D006323
DB00544,D006323
DB01169,D006323
DB00169,D006323
DB00783,D050500
DB00773,D050500
DB03843,D050500
DB00544,D050500
DB01169,D050500
DB00783,D005910
DB00773,D005910
DB03843,D005910
DB00467,D005910
DB00331,D005910
DB00544,D005910
DB01169,D005910
DB00169,D005910
DB00783,D000081029
DB00331,D000081029
DB01169,D000081029
DB00783,D008223
DB00773,D008223
DB03843,D008223
DB00331,D008223
DB00544,D008223
DB01169,D008223
DB00169,D008223
DB00783,D015459
DB00773,D015459
DB03843,D015459
DB00331,D015459
DB00544,D015459
DB01169,D015459
DB00169,D015459
DB00783,D009133
DB00773,D009133
DB03843,D009133
DB00467,D009133
DB00331,D009133
DB00544,D009133
DB01169,D009133
DB00169,D009133
DB00783,D001749
DB00773,D001749
DB03843,D001749
DB00467,D001749
DB00331,D001749
DB00544,D001749
DB01169,D001749
DB00169,D001749
DB00783,D003865
DB00773,D003865
DB03843,D003865
DB00331,D003865
DB00544,D003865
DB01169,D003865
DB00169,D003865
DB00783,D029424
DB00773,D029424
DB03843,D029424
DB00467,D029424
DB00331,D029424
DB00544,D029424
DB01169,D029424
DB00169,D029424
DB00783,D064726
DB00773,D064726
DB03843,D064726
DB00331,D064726
DB00544,D064726
DB01169,D064726
DB00169,D064726
DB00783,D015433
DB03843,D015433
DB00331,D015433
DB00544,D015433
DB01169,D015433
DB00169,D015433
DB00783,D009767
DB00773,D009767
DB03843,D009767
DB00331,D009767
DB00544,D009767
DB01169,D009767
DB00783,D001281
DB00773,D001281
DB03843,D001281
DB00467,D001281
DB00331,D001281
DB00544,D001281
DB01169,D001281
DB00169,D001281
DB00783,D003928
DB00773,D003928
DB03843,D003928
DB00331,D003928
DB00544,D003928
DB01169,D003928
DB00169,D003928
DB00997,D003920
DB01128,D003920
DB00997,D000544
DB01128,D000544
DB00997,D007249
DB00783,D007249
DB00773,D007249
DB03843,D007249
DB00544,D007249
DB01128,D007249
DB00997,D001022
DB00783,D001022
DB00773,D001022
DB03843,D001022
DB00544,D001022
DB00783,D001228
DB03843,D001228
DB00997,D020370
DB00783,D020370
DB00997,D015451
DB00783,D015451
DB00773,D015451
DB03843,D015451
DB00544,D015451
DB01128,D015451
DB00997,D010051
DB01128,D010051
DB00997,D003865
DB01128,D003865
DB00997,D008113
DB01128,D008113
DB00997,D006457
DB00783,D006457
DB00773,D006457
DB00997,D015179
DB01128,D015179
DB01128,D013981
DB00997,D003924
DB01128,D003924
DB00997,D002289
DB01128,D002289
DB00997,D055959
DB00783,D055959
DB00773,D055959
DB03843,D055959
DB00544,D055959
DB01128,D055959
DB00997,D009765
DB01128,D009765
DB00997,D000751
DB00783,D000751
DB00997,D012164
DB00783,D012164
DB00773,D012164
DB03843,D012164
DB00544,D012164
DB01128,D012164
DB00997,D006332
DB00783,D006332
DB00773,D006332
DB03843,D006332
DB00544,D006332
DB01128,D006332
DB00997,D001943
DB01128,D001943
DB00997,D014376
DB00997,D013274
DB01128,D013274
