DrugBankID,DiseaseID
DB01262,D012164
DB01262,D012175
DB01262,D012509
DB01262,C536629
DB01262,D012559
DB01262,D012595
DB01262,D018239
DB01262,D018805
DB01262,D012859
DB01262,D013119
DB01262,D000077195
DB01262,D013272
DB01262,D013274
DB01262,D000072660
DB01262,D013921
DB01262,D000077273
DB01262,D013964
DB01262,D014029
DB01262,D014277
DB01262,D064726
DB01262,D014397
DB01262,D001749
DB01262,D053201
DB01262,D002583
DB01262,D014605
DB01262,D014652
DB01262,D014657
DB01262,D014947
DB00997,D000026
DB00997,D000163
DB00997,D054058
DB00997,D058186
DB00997,D000077192
DB00997,D000236
DB00997,C535608
DB00997,D000437
DB00997,D000544
DB00997,D000690
DB00997,D000751
DB00997,D000755
DB00997,D001008
DB00997,D017544
DB00997,D017545
DB00997,D001022
DB00997,D015535
DB00997,D001172
DB00997,D001249
DB00997,D050197
DB00997,D001281
DB00997,D001289
DB00997,D001327
DB00997,D056735
DB00997,D053713
DB00997,D017086
DB00997,D001661
DB00997,D058249
DB00997,D002545
DB00997,D001943
DB00997,C537017
DB00997,D000072716
DB00997,D002280
DB00997,D018269
DB00997,D006528
DB00997,D002278
DB00997,D002289
DB00997,D000077216
DB00997,D002292
DB00997,D002294
DB00997,D002295
DB00997,D002296
DB00997,D006332
DB00997,D009202
DB00997,D066126
DB00997,D002318
DB00997,D002357
DB00997,D002386
DB00997,D002446
DB00997,D016543
DB00997,D002561
DB00997,D018281
DB00997,D002779
DB00997,D002972
DB00997,D019970
DB00997,D003072
DB00997,D060825
DB00997,D003110
DB00997,D015179
DB00997,D003323
DB00997,D003324
DB00997,D003327
DB00997,D000086382
DB00997,D003424
DB00997,D003865
DB00997,D003872
DB00997,D003876
DB00997,D002658
DB00997,D016640
DB00997,D003920
DB00997,D003922
DB00997,D003924
DB00997,D058065
DB00997,D003928
DB00997,D003930
DB00997,D004314
DB00997,D050171
DB00997,D020964
DB00997,D016889
DB00997,D004715
DB00997,D004719
DB00997,D020345
DB00997,D004769
DB00997,D057765
DB00997,D004806
DB00997,D004827
DB00997,D004833
DB00997,D004938
DB00997,D000077277
DB00997,D000075222
DB00997,D000795
DB00997,D065627
DB00997,D063647
DB00997,D005317
DB00997,D005355
DB00997,D005706
DB00997,D005757
DB00997,D005909
DB00997,D005910
DB00997,D005922
DB00997,D015433
DB00997,C562602
DB00997,D006223
DB00997,D006323
DB00997,D006333
DB00997,D006402
DB00997,D006457
DB00997,D006509
DB00997,D006526
DB00997,D006561
DB00997,D006566
DB00997,D006689
DB00997,D006949
DB00997,D006967
DB00997,D006973
DB00997,D006976
DB00997,D017379
DB00997,D000860
DB00997,D054990
DB00997,D007246
DB00997,D007248
DB00997,D007249
DB00997,D015212
DB00997,D058922
DB00997,D007333
DB00997,D055959
DB00997,C535531
DB00997,D007511
DB00997,D000083242
DB00997,D007674
DB00997,D007938
DB00997,D015451
DB00997,D015459
DB00997,D015464
DB00997,D015470
DB00997,D020961
DB00997,D008103
DB00997,D008107
DB00997,D008113
DB00997,D008171
DB00997,D055370
DB00997,D008175
DB00997,D008180
DB00997,D008223
DB00997,D016393
DB00997,D016403
DB00997,D008228
DB00997,D008268
DB00997,D008269
DB00997,D008288
DB00997,D008527
DB00997,D008545
DB00997,D001523
DB00997,D008659
DB00997,D024821
DB00997,D009062
DB00997,D009080
DB00997,D052016
DB00997,D009101
DB00997,D009103
DB00997,D009133
DB00997,D020388
DB00997,D009157
DB00997,D009190
DB00997,D009203
DB00997,D015428
DB00997,D018979
DB00997,D009298
DB00997,D000077274
DB00997,D056770
DB00997,D009442
DB00997,D009447
DB00997,D019636
DB00997,D009456
DB00997,D065626
DB00997,D009765
DB00997,D009767
DB00997,D010001
DB00997,D010003
DB00997,D020370
DB00997,D010024
DB00997,D012516
DB00997,D010051
DB00997,D010182
DB00997,D010190
DB00997,D050500
DB00997,D010300
DB00997,D020371
DB00997,D010518
DB00997,D010534
DB00997,D010911
DB00997,D010922
DB00997,D058226
DB00997,D011014
DB00997,D011085
DB00997,D011230
DB00997,D054198
DB00997,D011225
DB00997,D011470
DB00997,D011471
DB00997,D064129
DB00997,D029424
DB00997,D011655
DB00997,D011658
DB00997,D011832
DB00997,D015427
DB00997,D012128
DB00997,D012164
DB00997,D012175
DB00997,D012509
DB00997,D012559
DB00997,D012595
DB00997,D018239
DB00997,D018805
DB00997,D012859
DB00997,D013119
DB00997,D000077195
DB00997,D013272
DB00997,D013274
DB00997,D000072660
DB00997,D013921
DB00997,D000077273
DB00997,D013964
DB00997,D014029
DB00997,D014277
DB00997,D064726
DB00997,D014376
DB00997,D014397
DB00997,D001749
DB00997,D053201
DB00997,D002583
DB00997,C536494
DB00997,D014605
DB00997,D014652
DB00997,D014657
DB00997,D014947
DB00467,D054058
DB00467,D058186
DB00467,D000690
DB00467,D001249
DB00467,D001281
DB00467,D001943
DB00467,D006528
DB00467,D002289
DB00467,D002292
DB00467,D002294
DB00467,D002779
DB00467,D003110
DB00467,D015179
DB00467,D003922
DB00467,D003924
DB00467,D004827
DB00467,D063647
DB00467,D005910
DB00467,D006689
DB00467,D006973
DB00467,D000860
DB00467,D007674
DB00467,D015464
DB00467,D008103
DB00467,D008107
DB00467,D055370
DB00467,D008175
DB00467,D001523
DB00467,D009133
DB00467,D065626
DB00467,D012516
DB00467,D010300
DB00467,D011014
DB00467,D011230
DB00467,D054198
DB00467,D011471
DB00467,D029424
DB00467,D012509
DB00467,D012559
DB00467,D013274
DB00467,D001749
DB00783,D000026
DB00783,D000163
DB00783,D054058
DB00783,D058186
DB00783,D000077192
DB00783,D000236
DB00783,D010520
DB00783,C535608
DB00783,D000437
DB00783,D000544
DB00783,D000690
DB00783,D000751
DB00783,D000755
DB00783,D001008
DB00783,D017544
DB00783,D017545
DB00783,D001022
DB00783,D015535
DB00783,D001172
DB00783,D001228
DB00783,D001249
DB00783,D050197
DB00783,D001281
DB00783,D001289
DB00783,D001327
DB00783,D056735
